Company,MSE
AAL,1.8966611734042862
AAP,545.7682847977097
AAPL,1048.7283939611073
ABBV,45.799721361396514
ABC,414.4496555515719
ABMD,2690.5711477084355
ABT,204.41870998505797
ACN,1593.6332820893651
ADBE,5912.630127677278
ADI,179.1181597877744
ADM,43.90529984161414
ADP,322.08756492812256
ADSK,3123.1941872902953
AEE,6.544320423559558
AEP,11.008552250149865
AES,0.7278528928847432
AFL,53.16696522143162
AIG,1616.429803732694
AIZ,77.9928189053142
AJG,239.28278504993682
AKAM,18.908434886108026
ALB,890.4630380495106
ALGN,15853.238895533053
ALK,63.8756863762303
ALL,64.07545566094203
ALLE,81.74715900623927
AMAT,161.07195005446215
AMCR,0.2041760030852715
AMD,97.36112301165261
AME,736.618604678258
AMGN,3084.7122198302186
AMP,345.3704521423871
AMT,775.483505107515
AMZN,566051.7527317542
ANET,260.1600987376397
ANSS,3984.3454813779554
ANTM,1694.4591949844778
AON,553.8791054325211
AOS,186.4975508561217
APA,379.2549500772555
APD,913.3099092396718
APH,159.8512579219723
APTV,178.25416665284973
ARE,259.3980304076185
ATO,132.9821134420452
ATVI,219.74316092948936
AVB,472.09988441328346
AVGO,10473.615912197585
AVY,140.56404302228546
AWK,390.519612238904
AXP,106.30824045608576
AZO,112134.7962623515
BA,1058.1053789939647
BAC,2.0309011796309
BAX,148.85451275849925
BBWI,67.68589394743762
BBY,500.0458670175776
BDX,2476.9375977598525
BEN,28.9161582080339
BF,208.41478600646025
BIIB,4628.8592819378155
BIO,6850.594972962349
BK,1.1003953430768072
BKNG,229406.93341268314
BKR,14.610220976684293
BLK,8950.730230637435
BLL,312.0528035117861
BMY,1.6072310934793135
BR,2102.3613438008215
BRK,1661.292573498592
BRO,81.82649093058944
BSX,0.5883775998120726
BWA,115.31574881174022
BXP,22.633187331480592
C,490.46190204407753
CAG,1.7861019830860336
CAH,5.667222422173804
CARR,8.618977627428464
CAT,428.9581808933912
CB,617.0096036767123
CBOE,127.14090661269721
CBRE,32.417935438951474
